entity1,relationship,entity2
Kingdom,desired,Olenna
Iron Throne,desires,Northern
Lord Roose Bolton,desires,Free Folk
Stannis,despises,Renly
Robb Stark,despite an,Bran
Mirri Maz Duur,despite the,Drogo
Gendry,destroy his enemies and claim,Iron Throne
House Stark,destroyed,Targaryen
Theon,destroyed everything he ever cared,Winterfell
Stannis,destroys,Davos Seaworth
Lives of Four Kings,detailing,Grand Maester Kaeth
Tyrion,determined to drink,Varys
Cersei,determined to save,Gregor
Robb,determined to simply wait,Robb
Son,devolves into a shouting,Mossador
Stannis,dictates,Joffrey
Thoros,did,Gendry
Ramsay,did,Ramsay
Varys,did,Jaime
Tywin,did listen,Grand Maester Pycelle
Cersei,did n't arrest,Loras
Martyn,did n't do,Lord Rickard
Lannisters,did n't heal,Thoros
Aerys,did n't like,Hands
Illyrio,did not approve,Daenerys
Daenerys,did not liberate,Meereen
Robb,did not stop,Rickard
Robb Stark,did they learned,Ramsay
Robb,did when he lost,Winterfell
Brienne,die,Jaime
Sansa,die,Roose Bolton
Jon,die assassinating,Mance
Jaime,die being,Tyrion
Bran,die helping,Bran
Jon Arryn,died,Cersei
Robb Stark,died,Eddard
Jojen,died,Bran
Mad King,died begging,Jaime
White Harbor,died fighting,Wildlings
Sansa Robb,dies,Winterfell
Robb,diffuses the situation by excusing,Greatjon
Bronn,dig,Jaime
Lord Walder Frey,directed,Robb
Targaryens,disbanded,Faith Militant
Slynt,disbelieve,Jon
Arya,disbelieves,Sandor
Khal Khal,disciplines,Mago
Eddard,discovers,Jon Arryn
Jon,discovers,Maester Aemon
Varys,discovers,Shae
Tyrion,discovers,Wildfire
Torrhen Torrhen,discovers,Alton Lannister
Septa Mordane,discuss,Sansa
Lord Eddard Stark,discuss,Ser Hugh
Olenna,discuss,Sansa
Baelish,discuss,Iron Throne
Bolton,discuss,Jaime
Jaime,discuss,Jaime
Olyvar,discuss,Tyrion
Tyrion,discuss,Tywin
Doran,discuss,Oberyn
High Sparrow,discuss,Ser Loras
Daario,discuss,Hizdahr zo Loraq
Lady Olenna Tyrell,discuss having,Ser Loras
Viserys,discuss the quest to sail,Westoros
Tywin,discusses,House Lannister
Baelish,discusses,Renly Baratheon
Jon,discusses,Sam
Sansa,discusses,Roose
Talisa Maegyr,discusses medical supplies she needs,Robb
Yunkish,discussing,Prendahl
Ser Jorah Mormont,disgraced himself and fled,Essos
Cersei,dismisses,Ser Barristan Selmy
Slynt,dismisses,Jon
Daenerys,dismisses,Jorah
Daario,dismisses,Second Sons
Oberyn,dismisses,Tyrion
Gregor,dismisses,Pycelle
Ser Gerold Hightower,dismisses,Mad King
Cersei,dismisses the accident that claimed,Robert
Doran,disobey his king,Myrcella
Clegane,disparages,Arya
Roose,dispatches,Locke
Naharis,dispatches,Meereen
Wall,dispatching several wildlings and catching,Styr
Robert Baratheon,displaying,Joffrey
Tormund,distract,Castle Black
Steelshanks,distracting,Jaime
Jon,distracts,Ygritte
Jojen,distracts,Karl
Styr,distracts,Jon
Varys,divulges,Shae
Arya,do,Joffrey
Bolton,do,Robb
Reed,do,Bran
Reek,do,Sansa
Daenerys,do,Tyrion
Reek,do,Ramsay
Daenerys,do,Jorah
Samwell,do everything to protect,Gilly
Joffrey,do if he found,Lancel
Sansa,do if she never does,Tyrion
Locke,do indeed drag,Brienne
Tyrells,do not have,Lannisters
Castle Black,do not have,Stannis
Ramsay Snow,do not leave,North
Varys,do to protect,Shae
Low Valyrian,do well to attack,Westeros
Joffrey,do whatever he pleases,Tyrion
Eddard,does,Tyrion
Cersei,does,Tyrion
Karl,does,Bran
Oberyn,does,Jaime
Daario,does,Tyrion
Locke,does n't bring,Kingslayer
Light,does n't care,Shireen
Edd,does n't care,Jon
Jon,does n't even know,Robb
Jaime,does n't fear,Jaime
Balon,does n't know,Theon
Missandei,does n't know,Daenerys
Joffrey,does n't matter,Lannister
Dothraki,does n't matter,Grey Worm
Winterfell,does n't need,Moon Door
Stannis,does n't protest,Melisandre
Jon,does n't see,Ygritte
Meryn,does n't think,Arya
Stannis,does n't understand,Melisandre
Cersei,does n't understand,Margaery
Robb,does n't want,Iron Throne
Brusco,does n't want,Lhara
Tyrion,does not exist,Varys
Jon,does not have,Eddard
Catelyn,does not let,Robb
Robb,does not seek,Iron Throne
Jaime,does not serve,Lord Stark
Brienne,does not serve,House Stark
Melisandre,does speak,Shireen
Craster,doing,Craster
Tyrion,doing his best to rule,Daenerys
Tyrion,doing so saves,Catelyn
Qhorin,done anything to protect,Night's Watch
Dothraki,done before and take,Iron Throne
Jon,dons,Night's Watch
Davos,doubt,Melisandre
Davos,doubt,Lord Commander
Brienne,doubting,Sansa
Littlefinger,dragging,Marei
Yoren,drags,Arya
Craster,drags,Jon Snow
Wall,draw,Grenn
Torrhen,draw the remaining,House Stark
Hizdahr,drawing,Daenerys
Arya,drawing her sword to save,Yoren
Marillion,draws,Tyrion
Tyrion,dreamed of stopping,Daenerys
Shae,dresses,Sansa Stark
Varys,drinking,Pentos
Lommy,driving,Needle
Obara,driving,Myrcella
Rhaegar,drop,Rhaegar
Grenn,drops,Wall
Jaime,drove,Aerys
Oberyn,dryly notes it must be,Tywin
Jon,dubbing,Lord Snow
Ser Arthur,duels,Eddard
Daisy,dump,Tyrion
Iron Islands,during,Euron
White Walkers,during The,Long Night
Harrenhal,during the,Targaryen Conquest
Tyrion Lannister,during the,Battle
Tyrion,during the,Battle
Ser Mandon Moore,during the,Battle
Thoros,during the,King
Jorah,during the,Siege
Mountain,during the,King
Tyrion,during the,Battle
Sam,during the,Mole
Jon,during the,Mance
Volantis,during the,Jorah Mormont
Benjen,eating area to farewell,Yoren
Yunkai,either surrender or suffer,Astapor
Night's Watch,eliminate the traitors holed,Locke
Dorne,eliminating,House Martell
Arya,embarrassed that she bought,Waif
Osha,emerge,Winterfell
Locke,empties,Jaime
Queen Regent Cersei Lannister,encounters,Petyr
Jon,encounters,Sam
Lysa,encourages,Sansa
Lord Eddard,end,House Stark
Cat,endangered them all by bringing,Tyrion
Robb,endangering,Bran
Tywin Lannister,ended,Arya
Mance,ending,Castle Black
Jon,ends,Jon
Stannis,engage in diplomacy to win,Jon
Daenerys Targaryen,enjoy,Magister Illyrio Mopatis
Podrick,enjoy,Marei
Meereen,enjoy,Tyrion
Jon,enjoy being,Lord Commander
Thoros,enjoyed,Hot Pie
Theon Greyjoy,enjoys,Ros
Varys,enjoys sparring,Baelish
Tyrion,enquires,Lancel
Craster,enraged and threatens,Rast
Drogo,enraged at what they see,Daenerys
Elia Martell,enraging,Clegane
Davos,enter,Davos
Bran,enter,Hodor
Jon,enter,Castle Black
First Men,entered,Westeros
Rakharo,entering,Night Lands
Bran,enters,Summer
Margaery,enters,Tommen
Septa Septa,enters,Cersei
High Sparrow,enters,Tommen
Septa Unella,enters,Queen Margaery Tyrell
Jaime,enters to see,Cersei
Jon Jon,enters to speak,Aemon
Daisy,entertain,Joffrey
Daario,entreats,Dany
Daario,eradicate,Sons
Arya,escape,King
Bran Stark,escape,Winterfell
Brynden Tully,escaped,Walder
Brienne,escapes,Podrick
Sansa,escaping,Ser Dontos Hollard
Castle Black,escaping,Craster
Tarth,escort,Jaime
Ser Meryn,escort,Tyrion
Joffrey,escorts,Sansa
Valyria,establishing,Free City
Sam,eulogizes,Aemon
Daario,evacuate,Daenerys
Red Priestess,evangelizes,High Valyrian
Bronn,except the,Varys
King,exchange,Sansa
Beric Dondarrion,exclaiming,Thoros
Sparrows,execute,High Sparrow
Jon,execute them or to see,Tormund
Sansa,executed and to force,Tyrion
Robb,executes,Rickard
Robb,executing,Rickard
Daenerys,executing,Harpy
Daenerys,exiles,Jorah
Sansa,expect,Joffrey
Bran,expected to live,Cersei
Brienne,expects,Jaime
Cersei,expects her to love,Joffrey
Jojen Jojen,experiences a seizure while sleeping,Meera
Daenerys,explain,Missandei
Beric,explain,Beric
Castle Black,explain their reasoning for killing,Lord Commander
Arya,explained,Jaqen H'ghar
Eddard,explains,Sansa
Mirri Maz Duur,explains,Daenerys
Jon,explains,Night's Watch
Jojen,explains,Bran
Missandei,explains,Astapor
Stannis,explains,Ser Davos
Bran,explains,Osha
Roose,explains,Ramsay Snow
Joffrey,explains,Robb
Stannis,explains,Shireen
Sansa,explains,Stannis
Doran,explains,Trystane
High Sparrow,explains,Jaime
Theon,explains,Ramsay
Tyrion,explains he visited,Wall
Barristan,explains that although there are,Second Sons
Ser Barristan,explains that following,Robert
Jorah,explains that he actually fled,Westeros
Brynden,explains that he did,Hoster
Balon,explains that he heard,Euron
Bones,explains that he is,Ned Stark
Littlefinger,explains that marrying,Ramsay Bolton
Sansa,explains that she has,Royce
Catelyn,explains that the boy was,Jon Snow
Doran,explains that they received,Myrcella
Tyrion,explains that when he was,Jaime
Sam,explains this is,Jon
Mormont,explains to Jon,Longclaw
Khal,explains who she is,Khal Drogo
Littlefinger,explains why he returned,King
Cersei,explains why she summoned,Baelish
Cersei,exploits,Tommen
Sansa,explores,Reek
Jon,expresses,Mormont
Bolton,expresses,Brynden Tully
Thorne,expresses,Jon
Bran,expresses,Ser Arthur
Sansa,expresses approval and reminds,Reek
Great Masters,extends,Westeros
Grand Grand,extols,Joffrey
Syrio,face,Cersei
Mycah,face,Sandor
Brienne,faces,Harrenhal
Loboda,faces,Jon Snow
Arya,faces,Waif
Bran Stark,facing,Robb Stark
Tormund,failing to finish,Jon Snow
Margaery,fails to seduce,Renly
Tyrell,fall,House Tyrell
Sansa,fallen tree with Theon hugging,Sansa
Beric,falls,Thoros
Jojen,falls,Meera
Ser Gerold,falls,Ned
Clegane,farewell,Tyrion
Melisandre,fathered,Stannis Baratheon
Cersei,fears he will expose,Jaime
Reek,fears the bath is,Ramsay
Night,feasting and getting,Castle Black
Cersei,fed,Pycelle
Bolton,feeds,Walda
Davos,feels,Melisandre
Lys,feels,Missandei
Littlefinger,fetches,Eddard
Ser Alliser,fight,Piggy
Shagga,fight,Tyrion
Razdal,fight,Yunkai
Barristan,fight,Second Sons
Viserion,fight,Drogon
Jaime,fight,Tyrion
Jaime,fight,Bronn
Vale,fight,Cersei
Arya,fight because she 's,Waif
Brienne,fight even if they kill,Jaime
Sansa,fighting,Loras
Jon,fighting,Winterfell
Hound,fights,Arya
Brienne,fights,Podrick
Brienne,fills,Sansa
Jaime,find,Tyrion
Lannister,find,Lord Tywin Lannister
Tywin,find,Cersei
Jorah,find,Yunkai
Arya,find,Hound
Cersei,find,Margaery
Locke,find and kill,Bran
Lady Stark,find and protect,Sansa Stark
Tyrion,find any villages to steal,Jorah
Haunted Forest,find the missing,Benjen Stark
Petyr Baelish,finding,Arya
Brienne,finding,Sansa
Eddard,finds,Robert
Eddard,finds,Robert
Daenerys,finds,Irri
Jorah,finds,Daenerys
Sansa,finds,Hound
Margaery,finds,Joffrey
Margaery Tyrell,finds,Sansa Stark
Dragonstone,finds,Ser Onion Knight
Lord Varys,finds,Lord Petyr Baelish
Tyrion,finds,Shae
Tyrion,finds,Varys
Locke,finds,Bran Stark
Ghost,finds,Jon
Maester Maester,finds,Sam
Lyanna Stark,finds,Robert Baratheon
Sansa,finds,Reek
Jaime,finds,Doran
Daenerys,finds,Meereen
Cersei,finds,Kevan Lannister
Bran,finds,Meera Reed
Sandor,finds and takes,Sansa
Tyrion,finds himself surrounded,Catelyn
Jaime,finished,Aerys
Gendry,finished fixing,Thoros
Hodor,finished saddle designed,Tyrion
Ramsay,finishes off the few remaining,Baratheon
Drogon,fire,Kraznys
Ygritte,fired,Olly
Tyrion,firmly believes,Daenerys
Jon,fixes his nerve and executes,Commander
Daenerys,flanked,Unsullied
Ramsay,flayed,Winterfell
Westeros,fled,Essos
Lord Eddard Stark,fled,King
Wall,flee,Gift
Theon,flee,Iron Islands
House Tyrell,fleeing,Highgarden
Lannisters,fleeing,Robb
Brienne,flees,Catelyn Stark
Jon,flees,Jon
Karl,flinching,Karl
Tyene Sand,flirts,Bronn
Barristan Barristan,flock,Daenerys
Red Keep,flying,King
Dany,focuses,Daario
Braavosi Water Dancer,focuses,Jorah
Trident River,follow,Riverrun
Roslin,followed,Edmure
Daenerys,following,Jorah
Stannis,following,Battle
North,following,Robb Stark
Meereen,following,Jorah
Sandor,following orders to kill,Mycah
Thin Man,follows,Ser Meryn
Mero,fondles,Yunkish
Baelish,fooled and warns,House Tyrell
Westeros,for,Daenerys
Gilly,for,Castle Black
Daenerys,for,Varys
Thoros,for a,Robb
Sansa,for a,Sansa
Maester Aemon,for a,Jon
Castle Black,for a,Shireen
Jon,for a,Stannis
Jon,for an,Stannis
Tywin,for each,Tyrion
Jon Jon,for the,Wall
Winterfell,for the,Wall
Littlefinger,for the,Catelyn
Castle Black,for the,Night's Watch
Jon,for the,Lord Commander
Yoren,for the,Night's Watch
Jon,for the,White Walkers
Harrenhal,for the,House Lannister
Catelyn,for the,Faith
King,for the,Sansa
Five Kings,for the,Starks
Brienne,for the,Kingslayer
Gendry,for the,Brotherhood Without Banners
Melisandre,for the,Lord
Tywin,for the,Lannisters
Cersei,for the,Tyrells
Harrenhal,for the,Twins
Second Sons,for the,Unsullied
Jon Snow,for the,Night's Watch
Tyrion,for the,Seven Kingdoms
Podrick Payne,for the,Prince Prince
Oberyn,for the,Rhaenys
Ser Davos Seaworth,for the,Melisandre
Tyrion,for the,Joffrey
Samwell Tarly,for the,Gilly
Podrick Payne,for the,Tyrion
Sansa,for the,Jaime
Oberyn,for the,Tyrion
Podrick,for the,Eyrie
Castle Black,for the,Mance Rayder
Brienne,for the,Lannisters
Brienne,for the,Lannisters
Great Pit,for the,Queen –
Tyrion,for the,Iron Throne
Qyburn,for the,Robert
White,for the,Faceless Men
Sansa,for the,Myrnada
Meereen,for the,Moro
Jon,for the,Mutiny
High Sparrow,for the,Cersei
Jon,for the,Night's Watch
Tommen,forbid him to use,Lannister
Tyrion,forbids it and tells,Joffrey
Kingsguard,force,Loras
Tywin,force,Cersei
Tywin,forced,Jaime
Jaime,forced,Varys
Samwall,forced him to join,Night's Watch
Catelyn,forced to argue,Jaime
Sam,forced to leave,Pyp
Joffrey,forces,Ros
Sansa,forces,Reek
Jaime,forcing,Jaime
Gregor,forcing,Gregor
Castle Black,forcing,Sam
Fennesz,forcing,Fennesz
Eddard,forestall,Varys
Mikken,forge,Arya
Hodor,forgotten to put,Osha
Tywin,forming,House Lannister
Greyjoy Rebellion,fought,Robert
Eddard,fought,Robert
Trident,fought and died,Rhaegar
Pentoshi,found,Planky Town
House Stark,founded,Karlon Stark
Unburnt,freed,Daenerys
Osha,frees,Bran
Sansa,frets,Shae
Sansa,frightened,Cersei
Jaime,frightening,Arya
House Stark,from,Winterfell
Sansa,from,Baelish
Daenerys,from,Robert Baratheon
North,from,Winterfell
Needle,from,Polliver
Ser Dontos Hollard,from,King
Castle Black,from,Mance Rayder
North,from,Lord Roose Bolton
Myrcella,from,Dorne
Gared,from the,Wall
Bran Stark,from the,Watch
Maester Luwin,from the,Eyrie
Illyrio,from the,Shadow Lands
Yoren,from the,Wall
Bronn,from the,Crossroads Inn
Yoren,from the,Crossroads Inn
Daenerys,from the,Arbor
Stark,from the,Neck
Robb,from the,North
Rickon,from the,Eddard Stark
Starks,from the,White Walkers
Grand Grand,from the,Night
Tywin,from the,Westerlands
Lannister,from the,Riverlands
Arya,from the,Jaqen H'ghar
Catelyn Stark,from the,Brienne
Lord Rickard Karstark,from the,North
Jon Jon,from the,Night
Jon,from the,First Men
Robb Stark,from the,Westerlands
Tyrion,from the,Bronn
King,from the,Iron Throne
Joffrey,from the,Great Sept
Davos Davos,from the,Salladhor Saan
Jon Jon,from the,Free Folk
Brienne,from the,North
Mormont,from the,Wall
Jon,from the,Night's Watch
Ser Gregor Clegane,from the,Riverlands
Karstark,from the,First Men
Jaime,from the,Bolton
Sansa,from the,Vale
Sandor Clegane,from the,Brotherhood Without Banners
Watch,from the,Gift
Onion Knight,from the,Night's Watch
Selyse,from the,Lord
Moat Cailin,from the,Greyjoys
Lord Commander,from the,Wall
Locke,from the,Stormlands
Karl,from the,Jeor Mormont
Petyr,from the,Crownlands
Qyburn,from the,Citadel
Sandor Clegane,from the,Eyrie
Arya,from the,Black
Winterfell,from the,Boltons
Winterfell,from the,Lannisters
Melisandre,from the,Lord
Daenerys,from the,Tyrion
Drogon,from the,Meereen
Lord Royce,from the,Moon Door
Bran,frustrated at not being,Luwin
Jojen,fulfilling,Jojen
Xaro,fund,Daenerys
Davos,funding,Stannis
Missandei,gain,Dothraki
Shireen,gain,Lord
Jon,garrison,Castle Black
Qyburn,gather,Dorne
Thorne,gathered,Watch
Drogo,gave,Jorah
Qotho,get,Mirri Maz Duur
Jon,get,Wall
Jorah,get,Barristan
Brienne,get,King
Jon,get,Mance
Pod,get,King
Sam,get,Gilly
Qhorin Halfhand,get,Jon
Ramsay,get,Theon Greyjoy
Daenerys,get her what she wants,Tyrion
Jaime,get inside and find,Myrcella
Lord Commander,get involved,Craster
Stannis,get the gold they loaned,Tywin Lannister
King,gets,Robb Stark
Bronn,gets,Jaime
Stannis,gets killed,Littlefinger
Qyburn,gets ready to cut,Jaime
Jaime,getting,Maester
Cersei,getting,Robert Baratheon
Jon,getting stabbed,Olly
Grey Worm,getting to see,Missandei
Hand,give,Jaime Lannister
Robb,give,Joffrey
Robb,give,Cersei
Tyrion,give,Joffrey
Roose,give consideration to legitimizing,Ramsay
Varys,give testimony backing,Tyrion
Seven Kingdoms,given,Ser Jorah Mormont
Sansa Stark,given,House Stark
Westeros,given that her father was,Mad King
Loras,gives,Sansa Stark
Ser Rodrik,gives,Mord
Khal Khal,gives,Viserys
Eddard,gives,Ser Barristan Selmy
Jeor Jeor,gives,Jon Snow
Lord Commander Jeor Mormont,gives,Jon Snow
Samwell Samwell,gives,Gilly
Qhorin,gives,Jon
Arya,gives,Jaqen
Jaqen,gives,Valar Morghulis
Ygritte,gives,Jon
Joffrey,gives,Margaery
Tyrion,gives,Shae
Mero,gives,Volantis
Arya,gives,Sandor
Night,gives,Mance
Bronn,gives,Bran
Roose,gives,Ramsay
Hound,gives,Arya
Reek,gives,Sansa
Sam,gives,Jon
Doran,gives,Ellaria
Tyrion,gives them time to consider,Grey Worm
Arya,giving,Needle
Jon,giving,Ygritte
Grand Maester Pycelle,giving,Lord Frey
Royce,giving away the information regarding,Sansa Stark
Tywin,glares,Joffrey
Daenerys,glowering,Mero
Jon,glumly,Alliser Thorne
Jon,go,Sam
Tywin,go,King
Sansa,go,Stannis
Tyrells,go,Joffrey
Shireen,go,North
Sam,go,Sam
Sam,go,Citadel
Bronn,go,Jaime
Grey Worm,go,Jorah
Ser Barristan,go ahead to bury,Daenerys
Jaime,go and protect,Princess Myrcella
Sandor,go when he nearly killed,Beric
King,goad,Arya
Catelyn,goes,Bran
Dany,goes,Jon
Light,goes,Selyse
Jon,goes,Samwell Tarly
House Stark,goes to draw,Robb
Loras,goes to fetch,Queen Margaery
Bran,goes to investigate,Summer
Brienne,goes to search,Arya
Tommen,going to bring,Olenna
Tywin,going to have,Tyrion
Mance,going to make,North
Sansa,going to marry,Joffrey
Ramsay,going to punish,Reek
Ramsay,got,Roose
Elia,gouges,Oberyn
Mance,grab,Jon
Dolorous Edd,grab,Slynt
Jaime,grabs,Bran
Jon,grabs,Mormont
Ser Jorah,grabs,Daenerys
Mormont,grabs,Rast
Lysa,grabs,Sansa
Meera,grabs,Bran
Tywin,granted,Oberyn
Tywin Lannister,greet,Tyrion
Boltons,greet,Sansa
Boltons,greet,Sansa
Jon,greets,Eddison Tollett
Grey Worm,grinning,Yunkai
Red Comet,grips,Westeros
Lord Commander,groom,Jon
Daenerys,growing up to be,Daenerys
Qyburn Grand Maester,grows,Bolton
Grey Worm,guarding,Yunkai
Theon,guessed,Theon
Aemon,guesses,Sam
Tyrion,had,Ros
Catelyn,had,Maester Luwin
Selyse,had,Melisandre
Selyse,had,Stannis
Myrcella,had,Oberyn
Melisandre,had already declared,Stannis Baratheon
Samwell Tarly,had always been,Robb
Oberyn,had helped,Tyrion
Aerys,had his pyromancers place,King
Tywin Lannister,had intended,Moat Cailin
Qhorin,had killed,Mance
Arya,had killed,Lommy
Jon,had killed,White Walker
Night's Watch,had met,Arya
Theon,had murdered,Bran
Lancel,had not only killed,Joffrey
Tywin,had once done,Tyrion
Loras,had planned,Sansa
Jaime,had previously noted,King
Lannister,had previously taken,Arya
Petyr,had slept,Sansa
Varys,had to be,Eddard
Sam,had to do,Gilly
Gendry,had to join,Night's Watch
Dothraki,handmaidens,Irri
Sansa,hands,Tyrion
Tyrion,hands,Joffrey
Joffrey,hands,Margaery
Tyrion,hands,Joffrey
Samwell,hands,Roose Bolton
Greatjon,hang him for breaking,House Stark
Jaime Lannister,hanged,Stark
Bloody Gate,happen,Arya Stark
Varys,happened,Ros
Cersei,happens,Robert
King,harass,Margaery
Stannis,harm,Ser Ilyn
Jaime,harm,Steelshanks
Gilly,harm,Stannis
Faith Militant,harm,Margaery
Jon Jon,has,Winterfell
Thorne,has,Jon
Bran,has,Cripples
Sansa,has,Joffrey
Mhaegen,has,Robert
Arya,has,Syrio Forel
Lord Eddard,has,Robert
Joffrey,has,Iron Throne
Renly,has,Stannis
Tyrion,has,Lord Janos Slynt
Arya,has,Dany
Robb,has,Lord Karstark
Brotherhood,has,Lord
Joffrey,has,Sansa
Tywin Tywin,has,Stark Valyrian
Jon,has,Stark
Bran,has,Hodor
Petyr,has,Sansa
Lysa,has,Sansa
Jon,has,Craster
Ramsay,has,Myranda
Jaime,has,Tyrion
Daenerys,has,Mossador
Cersei,has,Qyburn
Stannis,has,Castle Black
Prince Prince,has,Areo Hotah
High Sparrow,has,Cersei
Waif,has,Jaqen
Cersei,has,Tommen
Rickon Stark,has,Ramsay
Ramsay,has a plan to defeat,Stannis
Bones,has already captured,Qhorin Halfhand
Theon,has always been,Reek
Tywin,has appointed,Tyrion
Night's Watch,has arrived,Samwell Tarly
Mormont,has arrived,Eddard
Town,has arrived,Castle Black
Eddard,has been,Westeros
Pod,has been,Shae
Iron Throne,has begun,Narrow Sea
Daario Naharis,has captured,Meereen
Eddard,has contracted,Syrio Forel
Littlefinger,has control,Robin
Hizdahr,has convinced,Meereen
Hand,has declared,Whisperers
Lord Roose Bolton,has dinner,Jaime
Jon,has dispatched,Ser Alliser Thorne
Theon Greyjoy,has escaped,Hodor
Robb,has ever fought,Lannisters
Grey Grey,has failed,Ser Barristan
Sam,has felt,Jon
Tyrion,has finally escaped,Joffrey
Renly,has fled,Ser Loras Tyrell
Jon,has found,Lady
Catelyn Stark,has freed,Ser Jaime Lannister
Melisandre,has given,Brotherhood
Jaime Lannister,has had,Locke
Jorah,has heard,Rakharo
Jaime,has heard,Tyrion
Light,has her men take,Gendry
Jaime,has hired,Tyrion
Melisandre,has led,Stannis
Whispering Wood,has lifted,Riverrun
Karstark,has lost,Karstark
Cersei,has lost,Joffrey
Joffrey,has made,Sansa
Arya,has mastered,Jaqen
Balon,has no intention of fighting,Lannisters
Tywin,has no intention of letting,Tyrells
Winterfell,has not already had,Ros
Jon,has not had,Jon
Highgarden,has not joined,Stannis
Jaime,has only been,Cersei
Tommen,has ordered,Cersei
Battle,has paid,Podrick
Joffrey,has previously been,Margaery
Robb,has reached,Twins
Stannis,has reached,Cersei
Brynden Tully,has recaptured,Riverrun
Stannis,has received,Ned Stark
Qarth,has recently booked,Astapor
Reach,has retreated,Highgarden
Stannis Baratheon,has retreated,Dragonstone
Drogon,has roasted,Zalla
Mance,has seen,Orell
Missandei,has seen,Daenerys
Maester Aemon,has selected,Samwell
Catelyn,has sent,Brienne
Jaime,has snuck,Dorne
Tyrion,has stubbornly clung,Tywin
Night's Watch,has suggested,Sansa
Grand Maester Pycelle,has summoned,Kevan Lannister
Sam,has survived,Craster
Mormont,has sworn,Night's Watch
Cersei Cersei,has taken,Lancel
Cersei,has taken,Tommen
Cersei,has the authority to command,Kingsguard
Sam,has the power to kill,White Walkers
Yoren,has to get,Wall
Sam,has to keep,Sam
Sansa,has to kin,Roose Bolton
Tywin,has to let,Tyrion
Karstark,has utterly lost,Robb
Littlefinger,has visited,Sansa Stark
Tywin,hated,Tyrion
Catelyn,hated was,Jon
Sandor,hates,Arya
Cersei,hatred,Tyrion
Narrow Sea,have,Robert
Daenerys Targaryen,have,Iron Throne
Osha,have,Bran
Eddard,have,Jon
Cersei,have,Jaime
Joffrey,have,Robb
Jon,have,Mole
White Sword Tower,have,Tyrion
Bronn,have,Dornish
Sansa,have anything to fear,Lord Yohn
Wise Masters,have asked,Daenerys
Drogo,have been,Rhaego
Petyr,have been,Sansa
Grey Grey,have been,Unsullied
Wise Masters,have bounced,Yunkai
Alliser,have breached,Castle Black
Stannis,have chosen,Rhaenyra
Dondarrion,have converted,Lord
Karstarks,have cost,Robb Stark
North,have declared,Ramsay
Khal Drogo,have departed,Pentos
Tywin,have disgraced,Lannister
Sansa,have done,Baelish
Ned,have done,Mance
Davos,have enough food to make,Castle Black
Jon,have fled,Wall
Bran,have found,Bran
Bronn,have gone,Tyrion
Castle Black,have gone,Ramsay
Pod,have gone,Castle Black
Joffrey,have had,Joffrey
Ser Alliser Thorne,have heeded,Jon
Freys,have horrifically desecrated,Robb Stark
Baratheons,have in turn secured,Westeros
Olenna,have it said,House Tyrell
Joffrey,have killed,Joffrey
Littlefinger,have known,Lysa
Ygritte,have known,Watch
Jorah,have known,Jeor Mormont
Robert,have learned,Daenerys Targaryen
Barristan,have learned,Jorah
Bran Stark,have left,Seven Kingdoms
Westeros,have left,Pentos
Wall,have left,Jon
Tyrion,have let,Margaery
Ramsay,have made,Reek
Doran,have made,Oberyn
Stannis,have n't attacked,Dragonstone
Jaime,have never previously owned,Valyrian
Dothraki,have never traveled,Jorah
Tyrion,have nothing to barter,Eddard
North,have noticed,Winterfell
Red Wedding,have orchestrated,Walder Frey
Baelish,have purged,King
Night,have repelled,Mance Rayder
Lord Tywin Lannister,have retreated,Harrenhal
White,have returned,Westeros
Arya,have said,Tywin Lannister
Karl,have seen,Karl
Ramsay,have squashed,Sansa
Wisdom Hallyne,have stockpiled,Wildfire
Sansa,have taken,Jon Snow
Sand Snakes,have taken,Dorne
Cersei,have the courage to lead,Jaime
Locke,have thrown,Brienne
Stannis,have to attack,Boltons
Robin,have to muster,Vale
Sansa,have to provide,Joffrey
Jorah,have to walk,Slaver
Renly,having,Robb Stark
Lannisters,having,Arya
Tyrion,having,North
Petyr Baelish,having,Joffrey Baratheon
Dornish,having,Shireen
Bran Stark,having a shared,Jojen Reed
Cersei,having despised,Robert
Lysa,having finally given,Robin
Gilly,having fled,Craster
Unsullied,having just sacked,Astapor
Davos,having returned,Castle Black
Luwin,having served,Starks
Stark,having slept,Lannister
Sansa,having survived,Winterfell
Qyburn,having to amputate,Jaime
Edmure,having to marry,Roslin
Bronn,head,Ellaria
Riverlands,heading,King
Ygritte,heading,Wall
Jorah,heading to meet,Daenerys
Pyp,heads,Castle Black
Grenn,hear,White Walkers
Townshall,hear,Jon
Thoros,hear singing,Rains
Robert,heard coming,Robert
Ned,hearing,Bran
Robb,hears,Eddard
Arya,hears,Jaqen
Bran,hears,Meera
Oberyn,hears men singing,Rains
Tyrion,heartbroken,Bronn
Tyrion,held,Podrick
Riverlands,held,Greyjoy
Jon,help,Sam
Mirri Maz Duur,help,Drogo
Red Keep,help,Margaery
Osha,help,Rickon
Hodor,help carry,Bran
Davos Seaworth,help him intervene,Davos
Ser Dontos,helped,Sansa
Jaime,helped,Tyrion
Jorah Jorah,helps,Daenerys
Reek,helps,Ramsay
Ellaria,helps,Doran
Eddison Tollett,helps,Jon Snow
Northern,helps launch,Hoster
Bran,helps map,Stannis
Jaime,helps rescue,Myrcella
Selyse,herself that the sacrifice is,Lord
Meera,hesitates,Jojen
